id|word|kana
1|恋々|KOIREN
2|待つ宵|MATSUYOI
3|夢心地|YUMEGOKOCHI
4|悲恋|HIREN
5|高嶺の花|TAKANENOHANA
6|離愁|RISHUU
7|僥倖|GYOUKOU
8|有頂天|UCHOUTEN
9|相合傘|AIAIGASA
10|連理の枝|RENRINOEDA
11|息を飲む|IKIWONOMU
12|嘆息|TANSOKU
13|針のむしろ|HARINOMUSHIRO
14|滑舌|KATUZETU
15|恋い慕う|KOISHITAU
16|恋草|KOIGUSA
17|落涙|RAKURUI
18|口惜しい|KUCHIOSHII
19|心残り|KOKORONOKORI
20|人を呪わば穴二つ|HITOWONOROWABAANAFUTATSU
21|恋煩い|KOIWAZURAI
22|心を砕く|KOKOROWOKUDAKU
23|悶々|MONMON
24|屋烏の愛|OKUUNOAI
25|うつつを抜かす|UTSUTSUWONUKASU
26|秘め事|HIMEGOTO
27|おくびにも出さない|OKUBINIMODASANAI
28|秘中の日|HICHUUNOHI
29|享楽|KYOURAKU
30|痛快|TSUUKAI
31|ご機嫌|GOKIGEN
32|小気味よい|KOKIMIYOI
33|漫遊|MANNYUU
34|いたずら|ITAZURA
35|物見遊山|MONOMIYUSAN
36|破顔一笑|HAGANISSHOU
37|空笑い|SORAWARAI
38|ほくそ笑む|HOKUSOEMU
39|柔和|NYUUWA
40|安寧|ANNEI
41|笑い合う|WARAIAU
42|埋もれ木に花咲く|UMOREGINIHANASAKU
43|死んで花見が咲くものか|SHINDEHANAMIGASAKUMONOKA
44|風光明媚|FUUKOUBEIBI
45|夢見草|YUMEMIGUSA
46|花霞|HANAGASUMI
47|青時雨|AOSHIGURE
48|薄明|HAKUMEI
49|暁|AKATSUKI
50|茜|AKANE
51|薄暮|HAKUBO
52|宵の口|YOINOKUCHI
53|可惜夜|ATARAYO
54|終夜|YOMOSUGARA
55|夜の帳|YORUNOTOBARI
56|朧月夜|OBOROZUKIYO
57|夜天光|YATENKOU
58|薫風|KUNPUU
59|甘雨|KANU
60|淡雪|AWAYUKI
61|はぐれ雲|HAGUREKUMO
62|星月夜|HOSHIZUKIYO
63|流るる|NAGARURU
64|影|KAGE
65|きらぼし|KIRABOSHI
66|幻日|GENJITSU
67|蜃気楼|SHINKIROU
68|陽炎|KAGEROU
69|水鏡|MIZUKAGAMI
70|蠢くもの|UGOMEKUMONO
71|腐れ縁|KUSAREEN
72|陶酔|TOUSUI
73|静謐|SEIHITSU
74|静静|SHIZUSHIZU
75|なりを潜める|NARIWOHISOMERU
76|心憂い|KOKOROUKI
77|傀儡|KAIRAI
78|暗愁|ANSHUU
79|琴線|KINSEN
80|世心|SESSHIN
81|心もとない|KOKOROMOTONAI
82|心化粧|KOKOROGESHOU
83|懐郷|KAIKYOU
84|哀愁|AISHUU
85|恋衣|KOIGOROMO
86|慕情|BOJOU
87|ときめく|TOKIMERU
88|情景|JOUKEI
89|はなむけ|HANAMUKE
90|余韻|YOIN
91|福音|FUKUIN
92|都落ち|MIYAKOOCHI
93|逃避行|TOUHIKOU
94|雲隠れ|KUMOGAKURE
95|胸騒ぎ|MUNASAWAGI
96|揺らめく|YURAMEKU
97|月に吠える|TUKINIHOERU
98|たゆたう|TAYUTAU
99|うたかた|UTAKATA
100|儚い|HAKANAI
101|逢い引き|AIBIKI
102|甘美|KANMI
103|よろめき|YOROMEKI
104|絵空事|ESORAGOTO
105|詭弁|KIBEN
106|空虚|KUUKYO
107|感傷|KANSHOU
108|傷心|SHOSHIN
109|寂寥|SEKIRYOU
110|幻影|GENEI
111|面影|OMOKAGE
112|残夢|ZANMU
113|夢幻|MUGEN
114|ゆめうつつ|YUMEUTSUTSU
115|しののめ|SHINONOME
116|きらめき|KIRAMEKI
117|残影|ZANEI
118|水鏡|MIZUKAGAMI
119|朝露|ASATSUYU
120|桃源郷|TOUGENKYOU
121|涙雨|NAMIDAAME
122|月の船|TSUKINOFUNE
123|たわむれ|TAWAMURE
124|天真爛漫|TENSHINRANMAN
125|甘美|KANMI
126|晴れ晴れ|HAREBARE
127|つれづれ|TSUREZURE
128|狼狽|ROUBAI
129|焦がれる|KOGARERU
130|艶美|ENBI
131|狂愛|KYOUAI
132|薄氷|HAKUHYOU
133|雪月花|SETSUGETSUKA
134|たそがれ|TASOGARE
135|黎明|REIMEI
136|木の葉時雨|KONOHASHIGURE
137|雪明かり|YUKIAKARI
138|蒼穹|SOUKYUU
139|霧雨|KIRISAME
140|白日|HAKUJITSU
141|夜さり|YOSARI
142|朧月夜|OBOROZUKIYO
143|思慕|SHIBO
144|思い寝|OMOINE
145|一途|ICHIZU
146|枯淡|KOTAN
147|愛惜|AISEKI
148|虚無|KYOMU
149|キラキラ|KIRAKIRA
150|ほの暗い|HONOGURAI
151|ぬくもり|NUKUMORI
152|火照り|HOTERI
153|ひんやり|HINYARI
154|水滴|SUITEKI
155|渦|UZU
156|純白|JUNPAKU
157|スカーレット|SUKA-RETTO
158|インディゴ|INDEIGO
159|手|TE
160|舌出し|SHITADASHI
161|天才子役|TENSAIKOYAKU
162|アイドルプロデューサー|AIDORUPURODYU-SA-
163|九龍城|KUURONJOU
164|異文化|IBUNKA
165|魅了|MIRYOU
166|闇|YAMI
167|宿命|SHUKUMEI
168|ナース|NA-SU
169|猫|NEKO
170|ヘタレ|HETARE
171|ツンデレ|TSUNDERE
172|腹黒|HARAGURO
173|ジト目|JITOME
174|ちょろい|CHOROI
175|弱気|YOWAKI
176|水着|MIZUGI
177|女子力|JOSHIRYOKU
178|ドジっ子|DOJIKKO
179|午前|GOZEN
180|今晩|KONBAN
181|昼|HIRU
182|会う|AU
183|休む|YASUMU
184|駅|EKI
185|酔いどれ|YOIDORE
186|配信者|HAISHINSHA
187|姫様|HIMESAMA
188|純粋無垢|JUNSUIMUKU
189|しっぽ|SHIPPO
190|自撮り|JIDORI
191|暑い|ATSUI
192|勉強|BENKYOU
193|勝つ|KATSU
194|負ける|MAKERU
195|買う|KAU
196|要る|IRU
197|忘れる|WASURERU
198|乗る|NORU
199|着る|KIRU
200|動く|UGOKU
201|出る|DERU
202|早い|HAYAI
203|時|TOKI
204|遅い|OSOI
205|始める|HAJIMERU
206|学校|GAKKOU
207|ミーティング|MI-TEINGU
208|終わり|OWARI
209|見る|MIRU
210|楽しむ|TANOSHIMU
211|見せる|MISERU
212|直ぐ|SUGU
213|道|MICHI
214|線|SEN
215|曲がる|MAGARU
216|左|HIDARI
217|行く|IKU
218|未だ|IMADA
219|泊まる|TOMARU
220|働く|HATARAKU
221|姉|ANE
222|お姉さん|ONEESAN
223|上手|JOUZU
224|妹|IMOUTO
225|車|KURUMA
226|住む|SUMU
227|広い|HIROI
228|走る|HASHIRU
229|教える|OSHIERU
230|送る|OKURU
231|スマホ|SUMAHO
232|もらう|MORAU
233|足|ASHI
234|出来る|DEKIRU
235|短い|MIJIKAI
236|読む|YOMU
237|速い|HAYAI
238|耳|MIMI
239|楽しい|TANOSHII
